Symbol,Name,Category Name
NHA,Nuveen Municipal 2021 Target Term,High Yield Muni
NZF,Nuveen Municipal Credit Income,Muni National Long
NMI,Nuveen Municipal Income,Muni National Long
NUV,Nuveen Municipal Value,Muni National Long
NNC,Nuveen NC Quality Muni,Muni Single State Long
NJV,Nuveen NJ Municipal Value Fund,Muni New Jersey
NXJ,Nuveen NJ Quality Muni,Muni New Jersey
NRK,Nuveen NY AMT - Free Quality Muni,Muni New York Long
NNY,Nuveen NY Municipal Value,Muni New York Long
NYV,Nuveen NY Municipal Value 2,Muni New York Long
NAN,Nuveen NY Quality Muni,Muni New York Long
NXN,Nuveen NY Select Tax Free,Muni New York Long
NUO,Nuveen OH Quality Muni,Muni Ohio
NPN,Nuveen PA Municipal Value Fund,Muni Pennsylvania
NQP,Nuveen PA Quality Muni,Muni Pennsylvania
NAD,Nuveen Quality Muni Income Fund,Muni National Long
NIM,Nuveen Select Maturities Muni,Muni National Interm
NXP,Nuveen Select TaxFree Income,Muni National Long
NXQ,Nuveen Select TaxFree Income 2,Muni National Long
NXR,Nuveen Select TaxFree Income 3,Muni National Long
NTX,Nuveen TX Quality Muni,Muni Single State Long
NPV,Nuveen VA Quality Muni,Muni Single State Long
PCQ,PIMCO CA Municipal Income,Muni California Long
PCK,PIMCO CA Municipal Income II,Muni California Long
PZC,PIMCO CA Municipal Income III,Muni California Long
PMF,PIMCO Municipal Income,Muni National Long
PML,PIMCO Municipal Income II,Muni National Long
PMX,PIMCO Municipal Income III,Muni National Long
PNF,PIMCO NY Municipal Income,Muni New York Long
PNI,PIMCO NY Municipal Income II,Muni New York Long
PYN,PIMCO NY Municipal Income III,Muni New York Long
MAV,Pioneer Muni High Inc Adv,High Yield Muni
MHI,Pioneer Municipal High Income,High Yield Muni
PMM,Putnam Managed Muni Income,High Yield Muni
PMO,Putnam Municipal Opportunities,Muni National Long
SBI,Western Asset Intermediate Mun,Muni National Interm
MMU,Western Asset Managed Muni,Muni National Long
MTT,Western Asset Muni Defined Opp,Muni National Interm
MHF,Western Asset Muni High Income,High Yield Muni
MNP,Western Asset Municipal Partners,Muni National Long
